Id,YearBuilt,YearRemodAdd,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,MoSold,YrSold
1,2003,2003,1,0,2,1,3,1,8,0,2003,2,2,2008
2,1976,1976,0,1,2,0,3,1,6,1,1976,2,5,2007
3,2001,2002,1,0,2,1,3,1,6,1,2001,2,9,2008
4,1915,1970,1,0,1,0,3,1,7,1,1998,3,2,2006
5,2000,2000,1,0,2,1,4,1,9,1,2000,3,12,2008
6,1993,1995,1,0,1,1,1,1,5,0,1993,2,10,2009
7,2004,2005,1,0,2,0,3,1,7,1,2004,2,8,2007
8,1973,1973,1,0,2,1,3,1,7,2,1973,2,11,2009
9,1931,1950,0,0,2,0,2,2,8,2,1931,2,4,2008
10,1939,1950,1,0,1,0,2,2,5,2,1939,1,1,2008
11,1965,1965,1,0,1,0,3,1,5,0,1965,1,2,2008
12,2005,2006,1,0,3,0,4,1,11,2,2005,3,7,2006
13,1962,1962,1,0,1,0,2,1,4,0,1962,1,9,2008
14,2006,2007,0,0,2,0,3,1,7,1,2006,3,8,2007
15,1960,1960,1,0,1,1,2,1,5,1,1960,1,5,2008
16,1929,2001,0,0,1,0,2,1,5,0,1991,2,7,2007
17,1970,1970,1,0,1,0,2,1,5,1,1970,2,3,2010
18,1967,1967,0,0,2,0,2,2,6,0,1967,2,10,2006
19,2004,2004,1,0,1,1,3,1,6,0,2004,2,6,2008
20,1958,1965,0,0,1,0,3,1,6,0,1958,1,5,2009
21,2005,2006,0,0,3,1,4,1,9,1,2005,3,11,2006
22,1930,1950,0,0,1,0,3,1,6,1,1930,1,6,2007
23,2002,2002,0,0,2,0,3,1,7,1,2002,2,9,2008
24,1976,1976,1,0,1,0,3,1,6,1,1976,2,6,2007
25,1968,2001,1,0,1,0,3,1,6,1,1968,1,5,2010
26,2007,2007,0,0,2,0,3,1,7,1,2007,3,7,2009
27,1951,2000,0,1,1,0,3,1,5,0,2005,2,5,2010
28,2007,2008,1,0,2,0,3,1,7,1,2008,3,5,2010
29,1957,1997,1,0,1,0,2,1,6,2,1957,1,12,2006
30,1927,1950,0,0,1,0,1,1,4,0,1920,1,5,2008
31,1920,1950,0,0,1,0,3,1,6,0,1920,1,7,2008
32,1966,2006,0,0,1,1,3,1,6,0,1966,1,6,2008
33,2007,2007,0,0,2,0,3,1,7,0,2007,2,1,2008
34,1959,1959,0,1,1,1,4,1,6,1,1959,2,4,2010
35,2005,2005,1,0,2,0,2,1,6,1,2005,2,8,2007
36,2004,2005,0,0,3,1,4,1,9,1,2004,3,9,2006
37,1994,1995,0,0,1,1,3,1,6,0,1995,2,6,2009
38,1954,1990,0,1,1,0,3,1,5,1,1954,2,10,2009
39,1953,2007,1,0,1,0,3,1,5,0,1953,1,1,2010
40,1955,1955,0,0,2,0,2,2,6,0,NA,0,6,2008
41,1965,1965,0,0,2,0,3,1,6,1,1965,2,12,2006
42,1959,1959,0,1,1,1,2,1,5,2,1959,1,7,2007
43,1983,1983,1,0,1,0,2,1,5,0,1983,2,12,2007
44,1975,1980,1,0,1,0,3,1,5,0,1977,1,7,2008
45,1959,1959,1,0,1,0,3,1,6,0,1959,1,5,2006
46,2005,2005,1,0,2,0,2,1,6,1,2005,2,2,2010
47,2003,2003,1,0,1,1,1,1,6,1,2003,2,8,2009
48,2006,2006,0,0,2,0,3,1,7,0,2006,3,7,2007
49,1920,2008,0,0,2,0,2,3,8,0,NA,0,6,2009
50,1966,1966,1,0,1,0,3,1,6,0,1966,1,1,2007
51,1997,1997,0,1,2,0,3,1,6,0,1997,2,7,2007
52,1934,1950,0,0,1,0,3,1,6,1,1985,2,9,2006
53,1963,1963,1,0,1,0,2,1,5,0,1963,2,5,2010
54,1981,1987,2,0,0,1,0,1,5,1,1981,3,11,2006
55,1955,1955,0,0,1,0,3,1,6,1,1962,2,2,2007
56,1964,1964,0,0,2,0,3,1,7,1,1964,2,7,2008
57,1999,2000,1,0,2,1,3,1,7,0,1999,2,8,2009
58,2004,2004,0,0,2,1,3,1,7,0,2004,2,8,2006
59,2006,2006,0,0,3,1,3,1,10,1,2006,3,10,2006
60,1972,1972,0,0,1,0,2,1,4,0,1973,1,1,2008
61,2004,2004,1,0,1,1,3,1,5,0,2006,2,5,2006
62,1920,1996,0,0,1,0,3,1,6,0,1935,1,3,2007
63,2006,2006,0,0,2,0,2,1,6,1,2006,2,10,2007
64,1921,1950,0,0,2,0,3,1,9,0,1990,2,4,2010
65,1997,1998,1,0,2,1,3,1,8,0,1998,2,2,2009
66,2004,2005,0,0,2,1,4,1,9,1,2004,3,10,2007
67,1970,1989,1,0,2,0,3,1,7,1,1970,2,7,2010
68,2003,2003,1,0,2,0,3,1,7,0,2003,2,6,2007
69,1945,1950,0,0,1,0,2,1,4,0,1945,1,6,2010
70,1953,1953,0,0,2,0,3,1,7,1,1953,2,7,2006
71,1973,1973,1,0,2,0,3,1,8,2,1973,2,2,2007
72,1982,2006,1,0,1,0,2,1,4,0,1987,2,6,2007
73,1998,1998,0,0,2,1,3,1,7,1,1998,2,12,2009
74,1954,2003,1,0,1,0,3,1,6,0,1989,2,5,2010
75,1915,1950,0,0,2,0,3,2,8,0,1915,1,5,2010
76,1973,1973,1,0,1,0,2,1,5,0,1973,1,11,2009
77,1956,1956,0,0,1,0,2,1,4,0,1956,1,4,2008
78,1948,2001,1,0,1,0,2,1,6,0,1948,1,1,2008
79,1968,1968,0,0,2,0,4,2,8,0,NA,0,4,2010
80,1910,1981,0,0,1,1,2,1,5,0,1966,2,5,2009
81,1968,1968,0,0,2,1,4,1,8,1,1968,1,6,2009
82,1998,1998,1,0,2,0,2,1,5,0,1998,2,3,2006
83,2007,2007,0,0,2,0,3,1,6,1,2007,3,10,2008
84,1960,1960,0,0,1,1,3,1,6,0,1974,2,7,2007
85,1995,1996,0,0,2,1,3,1,7,1,1995,2,5,2009
86,1991,1992,0,0,2,1,4,1,9,1,1991,2,4,2006
87,2005,2005,0,0,2,1,3,1,6,1,2005,2,3,2009
88,2009,2009,0,0,2,1,2,1,4,0,2009,2,6,2009
89,1915,1982,0,0,1,0,2,1,6,0,NA,0,10,2009
90,1994,1995,1,0,1,0,3,1,5,0,NA,0,8,2007
91,1950,1950,0,0,1,0,2,1,4,0,1950,2,7,2006
92,1961,1961,0,0,1,0,2,1,6,0,1961,2,12,2006
93,1921,2006,1,0,1,0,2,1,5,0,1921,2,8,2009
94,1910,1998,0,1,2,0,4,2,9,1,1900,2,11,2007
95,1997,1997,1,0,2,1,3,1,7,0,1997,2,5,2007
96,1993,1993,0,0,2,1,3,1,6,1,1993,2,4,2009
97,1999,1999,0,0,2,0,3,1,6,0,1999,2,8,2006
98,1965,1965,1,0,1,0,3,1,6,0,1965,1,5,2007
99,1920,1950,0,0,1,0,2,1,5,0,1920,1,5,2010
100,1959,1959,1,0,1,1,3,1,6,0,NA,0,1,2010
101,1977,2001,1,0,2,0,3,1,6,2,1977,2,2,2010
102,1985,1985,0,0,2,1,3,1,7,1,1985,2,6,2010
103,1979,1979,0,0,2,0,4,2,8,0,1979,2,6,2009
104,2009,2009,0,0,2,0,3,1,6,0,2009,3,5,2010
105,1931,1950,0,0,1,1,4,1,7,2,1951,1,6,2007
106,2003,2004,0,0,2,1,3,1,9,1,2003,2,8,2008
107,1885,1995,0,0,1,0,2,1,6,0,1954,1,8,2007
108,1948,1950,0,0,1,0,2,1,5,0,1948,1,4,2008
109,1919,2005,0,0,2,0,3,1,7,0,NA,0,8,2007
110,1977,1977,0,0,2,0,3,1,7,1,1977,2,1,2010
111,1954,1972,0,0,2,0,4,1,7,0,1954,1,10,2006
112,2000,2000,0,0,2,1,3,1,7,1,2000,2,4,2010
113,2007,2007,1,0,2,1,4,1,10,1,2007,3,10,2007
